month,Total_kWh_fleet_per_month,Average kWh,year,Total_sessions_fleet,Average sessions
1,715.48,89.435,2021,17,5.666666666666667
2,533.9,66.7375,2021,16,5.333333333333333
3,590.49,42.17785714285714,2021,20,6.666666666666667
4,1011.16,72.22571428571429,2021,32,10.666666666666666
5,758.182,75.8182,2021,24,8.0
6,793.943,46.70252941176471,2021,39,13.0
7,745.808,53.272,2021,37,12.333333333333334
8,244.19,48.838,2021,11,3.6666666666666665
9,215.72,53.93,2021,7,2.3333333333333335
10,591.666,59.1666,2021,18,6.0
11,881.404,62.95742857142857,2021,29,9.666666666666666
12,910.24,101.13777777777779,2021,31,10.333333333333334
